customerID,gender,Partner,SeniorCitizen,PhoneService,PaymentMethod,MonthlyCharges,Churn
8012-SOUDQ,Female,No,1,Yes,Electronic check,90.25,No
9420-LOJKX,Female,No,0,Yes,Credit card (automatic),99.1,Yes
6575-SUVOI,Female,Yes,1,Yes,Credit card (automatic),69.5,No
7495-OOKFY,Female,Yes,1,Yes,Credit card (automatic),80.65,Yes
4667-QONEA,Female,Yes,1,Yes,Credit card (automatic),74.85,No
1658-BYGOY,Male,No,1,Yes,Electronic check,95.45,Yes
8769-KKTPH,Female,Yes,0,Yes,Credit card (automatic),99.65,No
5067-XJQFU,Male,Yes,1,Yes,Electronic check,108.45,No
3957-SQXML,Female,Yes,0,Yes,Credit card (automatic),24.95,No
5954-BDFSG,Female,No,0,Yes,Credit card (automatic),107.5,No
0434-CSFON,Female,Yes,0,Yes,Electronic check,100.5,No
1215-FIGMP,Male,No,0,Yes,Bank transfer (automatic),89.9,No
0526-SXDJP,Male,Yes,0,No,Bank transfer (automatic),42.1,No
0557-ASKVU,Female,Yes,0,Yes,Credit card (automatic),54.4,No
5698-BQJOH,Female,No,0,Yes,Electronic check,94.4,Yes
5122-CYFXA,Female,No,0,Yes,Electronic check,75.3,No
8627-ZYGSZ,Male,Yes,0,Yes,Electronic check,78.9,No
3410-YOQBQ,Female,No,0,Yes,Mailed check,79.2,No
3170-NMYVV,Female,Yes,0,Yes,Bank transfer (automatic),20.15,No
7410-OIEDU,Male,No,0,Yes,Mailed check,79.85,No
2273-QCKXA,Male,No,0,Yes,Mailed check,49.05,No
0731-EBJQB,Female,Yes,0,Yes,Electronic check,20.4,No
1891-QRQSA,Male,Yes,1,Yes,Bank transfer (automatic),111.6,No
8028-PNXHQ,Male,Yes,0,Yes,Bank transfer (automatic),24.25,No
5630-AHZIL,Female,No,0,Yes,Bank transfer (automatic),64.5,No
2673-CXQEU,Female,No,1,Yes,Electronic check,110.5,No
6416-JNVRK,Female,No,0,Yes,Credit card (automatic),55.65,No
5590-ZSKRV,Female,Yes,0,Yes,Mailed check,54.65,No
0191-ZHSKZ,Male,No,1,Yes,Electronic check,74.75,No
3887-PBQAO,Female,Yes,0,Yes,Credit card (automatic),25.9,No
5919-TMRGD,Female,No,0,Yes,Electronic check,79.35,Yes
8108-UXRQN,Female,Yes,0,No,Electronic check,50.55,No
9191-MYQKX,Female,Yes,0,Yes,Bank transfer (automatic),75.15,Yes
9919-YLNNG,Female,No,0,Yes,Bank transfer (automatic),103.8,No
0318-ZOPWS,Female,Yes,0,Yes,Bank transfer (automatic),20.15,No
4445-ZJNMU,Male,No,0,Yes,Credit card (automatic),99.3,No
4808-YNLEU,Female,Yes,0,Yes,Bank transfer (automatic),62.15,No
1862-QRWPE,Female,Yes,0,Yes,Bank transfer (automatic),20.65,No
2796-NNUFI,Female,Yes,0,Yes,Mailed check,19.95,No
3016-KSVCP,Male,Yes,0,No,Mailed check,33.75,No
4767-HZZHQ,Male,Yes,0,Yes,Bank transfer (automatic),82.05,No
2424-WVHPL,Male,No,1,Yes,Electronic check,74.7,No
7233-PAHHL,Male,Yes,0,Yes,Mailed check,84,No
6067-NGCEU,Female,No,0,Yes,Credit card (automatic),111.05,No
9848-JQJTX,Male,No,0,Yes,Bank transfer (automatic),100.9,No
8637-XJIVR,Female,No,0,Yes,Electronic check,78.95,Yes
9803-FTJCG,Male,Yes,0,Yes,Credit card (automatic),66.85,No
0278-YXOOG,Male,No,0,Yes,Mailed check,21.05,Yes
3212-KXOCR,Male,No,0,Yes,Bank transfer (automatic),21,No
4598-XLKNJ,Female,Yes,1,Yes,Electronic check,98.5,Yes
6380-ARCEH,Male,No,0,Yes,Mailed check,20.2,No
3679-XASPY,Female,Yes,0,Yes,Electronic check,19.45,No
7123-WQUHX,Male,No,0,Yes,Bank transfer (automatic),95,No
5386-THSLQ,Female,Yes,1,No,Bank transfer (automatic),45.55,No
3192-NQECA,Male,Yes,0,Yes,Bank transfer (automatic),110,Yes
6180-YBIQI,Male,No,0,No,Mailed check,24.3,No
6728-DKUCO,Female,Yes,0,Yes,Electronic check,104.15,No
9750-BOOHV,Female,No,0,No,Mailed check,30.15,No
8597-CWYHH,Male,No,0,Yes,Mailed check,94.35,No
2848-YXSMW,Male,Yes,0,Yes,Credit card (automatic),19.4,No
0486-HECZI,Male,Yes,0,Yes,Electronic check,96.75,Yes
4549-ZDQYY,Female,No,0,Yes,Credit card (automatic),57.95,No
5712-AHQNN,Female,No,0,Yes,Electronic check,91.65,No
4846-WHAFZ,Female,Yes,1,Yes,Electronic check,76.5,Yes
5256-SKJGO,Female,Yes,0,No,Electronic check,54.6,No
3071-VBYPO,Male,Yes,0,Yes,Electronic check,89.85,No
9560-BBZXK,Female,No,0,No,Bank transfer (automatic),31.05,No
5299-RULOA,Female,Yes,0,Yes,Electronic check,100.25,Yes
8402-OOOHJ,Female,No,0,Yes,Mailed check,20.65,No
9445-ZUEQE,Male,Yes,0,Yes,Credit card (automatic),85.2,No
1091-SOZGA,Female,Yes,0,Yes,Credit card (automatic),99.8,No
2928-HLDBA,Female,No,0,Yes,Mailed check,20.7,No
0404-SWRVG,Male,No,0,Yes,Electronic check,74.4,Yes
6497-TILVL,Female,Yes,0,Yes,Mailed check,50.7,No
7219-TLZHO,Female,Yes,0,Yes,Mailed check,20.85,No
4622-YNKIJ,Male,No,0,Yes,Electronic check,88.95,No
4412-YLTKF,Female,No,1,Yes,Electronic check,78.05,Yes
6734-PSBAW,Male,Yes,0,Yes,Bank transfer (automatic),23.55,No
3930-ZGWVE,Male,No,0,Yes,Mailed check,19.75,No
2639-UGMAZ,Male,No,1,No,Electronic check,56.45,No
2876-GZYZC,Female,No,0,Yes,Electronic check,85.95,No
6207-WIOLX,Female,Yes,0,No,Credit card (automatic),58.6,Yes
8587-XYZSF,Male,No,0,Yes,Bank transfer (automatic),50.55,No
3091-FYHKI,Male,No,0,No,Electronic check,35.45,Yes
2372-HWUHI,Male,No,0,Yes,Electronic check,44.35,Yes
7799-LGRDP,Female,No,0,Yes,Credit card (automatic),25.7,No
7850-VWJUU,Female,No,0,Yes,Bank transfer (automatic),75,No
3774-VBNXY,Female,Yes,0,Yes,Mailed check,20.2,No
6217-KDYWC,Male,No,0,Yes,Mailed check,19.6,No
0390-DCFDQ,Female,Yes,1,Yes,Mailed check,70.45,Yes
3146-MSEGF,Female,Yes,1,Yes,Credit card (automatic),88.05,No
4080-OGPJL,Female,No,0,Yes,Electronic check,71.15,Yes
1095-WGNGG,Female,Yes,0,Yes,Bank transfer (automatic),101.05,No
2636-SJDOU,Male,No,0,Yes,Credit card (automatic),84.3,No
1131-QQZEB,Male,Yes,1,Yes,Bank transfer (automatic),23.95,No
5716-EZXZN,Female,Yes,0,Yes,Credit card (automatic),99.05,No
6837-BJYDQ,Male,No,0,Yes,Mailed check,19.6,No
2135-RXIHG,Male,No,0,Yes,Electronic check,45.65,Yes
6440-DKQGE,Male,No,0,Yes,Credit card (automatic),64.5,No
3466-BYAVD,Male,Yes,0,Yes,Mailed check,69.5,No
3780-YVMFA,Female,Yes,0,Yes,Electronic check,68.55,No
3874-EQOEP,Male,No,0,Yes,Mailed check,95,Yes
1679-JRFBR,Female,Yes,0,Yes,Credit card (automatic),108.15,No
9073-ZZIAY,Male,Yes,0,Yes,Electronic check,86.1,No
3077-RSNTJ,Female,Yes,0,Yes,Mailed check,19.7,No
6551-GNYDG,Female,Yes,0,Yes,Bank transfer (automatic),80.9,No
9167-APMXZ,Female,No,0,Yes,Bank transfer (automatic),84.15,No
2749-CTKAJ,Male,Yes,0,Yes,Mailed check,20.15,No
6371-NZYEG,Male,Yes,0,Yes,Mailed check,64.25,No
7554-NEWDD,Male,No,0,Yes,Bank transfer (automatic),25.7,No
8992-VONJD,Female,No,0,Yes,Electronic check,56,No
0867-MKZVY,Female,Yes,0,Yes,Electronic check,82.4,Yes
4482-EWFMI,Female,No,0,Yes,Electronic check,69.7,No
4648-YPBTM,Male,No,0,Yes,Bank transfer (automatic),73.9,No
2907-ILJBN,Female,Yes,0,Yes,Mailed check,20.6,No
6345-FZOQH,Male,Yes,0,Yes,Mailed check,19.9,No
3376-BMGFE,Female,No,0,Yes,Bank transfer (automatic),70.9,Yes
5997-OPVFA,Male,Yes,0,Yes,Bank transfer (automatic),89.05,No
3445-HXXGF,Male,Yes,1,No,Electronic check,45.3,Yes
1159-WFSGR,Female,Yes,0,Yes,Electronic check,20.4,No
7654-YWJUF,Male,Yes,0,Yes,Bank transfer (automatic),84.25,No
1875-QIVME,Female,Yes,0,Yes,Electronic check,104.4,Yes
6727-IOTLZ,Male,Yes,0,Yes,Mailed check,81.95,No
0691-JVSYA,Female,Yes,0,Yes,Bank transfer (automatic),94.85,Yes
5918-VUKWP,Female,No,0,Yes,Bank transfer (automatic),20.55,No
1744-JHKYS,Female,Yes,0,Yes,Electronic check,24.7,No
2656-FMOKZ,Female,No,1,Yes,Mailed check,74.45,Yes
2070-FNEXE,Female,No,1,Yes,Bank transfer (automatic),76.45,Yes
5947-SGKCL,Female,Yes,0,Yes,Bank transfer (automatic),105.35,No
3712-PKXZA,Male,Yes,0,Yes,Credit card (automatic),20.55,No
6317-YPKDH,Female,No,0,No,Bank transfer (automatic),29.95,Yes
6582-OIVSP,Female,No,0,Yes,Mailed check,45.3,No
9367-WXLCH,Male,No,0,Yes,Bank transfer (automatic),84.5,Yes
5524-KHNJP,Male,Yes,0,Yes,Credit card (automatic),74.75,No
1918-ZBFQJ,Female,No,0,Yes,Electronic check,79.25,Yes
1024-GUALD,Female,Yes,0,No,Electronic check,24.8,Yes
4827-USJHP,Male,No,0,Yes,Mailed check,51.8,No
8167-GJLRN,Male,No,0,No,Electronic check,30.4,No
0956-SYCWG,Female,No,0,Yes,Electronic check,19.65,No
8017-UVSZU,Female,Yes,0,Yes,Credit card (automatic),56.6,No
7100-FQPRV,Male,Yes,0,Yes,Credit card (automatic),71.9,No
2472-OVKUP,Male,Yes,0,Yes,Electronic check,91,Yes
2984-RGEYA,Female,Yes,0,Yes,Bank transfer (automatic),19.75,No
9680-NIAUV,Female,Yes,0,Yes,Credit card (automatic),109.7,No
2146-EGVDT,Male,Yes,0,Yes,Credit card (automatic),19.3,No
2604-IJPDU,Female,Yes,0,Yes,Electronic check,96.55,No
9178-JHUVJ,Male,Yes,0,Yes,Bank transfer (automatic),24.1,No
6168-YBYNP,Male,No,0,Yes,Electronic check,111.35,No
7255-SSFBC,Male,Yes,0,Yes,Bank transfer (automatic),112.25,No
3645-DEYGF,Male,No,0,Yes,Mailed check,20.75,No
9323-HGFWY,Female,Yes,0,Yes,Credit card (automatic),101.9,No
8544-GOQSH,Female,No,0,Yes,Credit card (automatic),80.05,No
3363-DTIVD,Male,Yes,0,Yes,Electronic check,105.55,No
7018-WBJNK,Male,No,0,Yes,Credit card (automatic),78.3,No
9142-KZXOP,Male,No,0,Yes,Credit card (automatic),68.85,No
7674-YTAFD,Female,No,0,Yes,Bank transfer (automatic),79.95,No
6348-SNFUS,Male,Yes,0,No,Credit card (automatic),55.45,No
1285-OKIPP,Male,No,0,Yes,Electronic check,79.9,Yes
7825-ECJRF,Female,No,0,Yes,Electronic check,106.6,Yes
1347-KTTTA,Male,Yes,0,Yes,Credit card (automatic),102.45,No
7841-TZDMQ,Male,No,0,Yes,Credit card (automatic),46,Yes
4195-NZGTA,Female,No,0,No,Electronic check,25.25,No
7157-SMCFK,Male,No,0,Yes,Mailed check,19.75,No
4709-LKHYG,Female,Yes,0,Yes,Electronic check,20,No
2504-DSHIH,Male,Yes,1,Yes,Electronic check,86.8,No
0699-NDKJM,Female,Yes,0,No,Bank transfer (automatic),58.75,No
9286-BHDQG,Male,Yes,0,No,Credit card (automatic),45.25,No
0230-WEQUW,Male,Yes,0,No,Bank transfer (automatic),56.6,No
2040-LDIWQ,Male,Yes,0,Yes,Bank transfer (automatic),84.2,No
6496-JDSSB,Female,No,0,Yes,Bank transfer (automatic),80,No
9408-SSNVZ,Female,No,0,Yes,Electronic check,70.15,Yes
4443-EMBNA,Female,Yes,0,Yes,Bank transfer (automatic),24.75,No
6469-MRVET,Male,Yes,0,Yes,Electronic check,20.2,No
0742-MOABM,Male,Yes,0,Yes,Mailed check,50.05,Yes
5961-VUSRV,Female,No,0,Yes,Bank transfer (automatic),19.35,No
6778-JFCMK,Male,No,0,No,Mailed check,50.6,No
6341-JVQGF,Female,Yes,0,Yes,Mailed check,81.15,No
2232-DMLXU,Female,Yes,0,Yes,Mailed check,55.2,Yes
4811-JBUVU,Male,No,0,Yes,Credit card (automatic),89.9,No
0945-TSONX,Female,Yes,0,Yes,Credit card (automatic),85.3,No
2651-ZCBXV,Male,No,0,Yes,Credit card (automatic),108,No
3316-UWXUY,Male,No,0,Yes,Credit card (automatic),93.5,No
8937-RDTHP,Male,No,0,Yes,Mailed check,84.6,Yes
7083-MIOPC,Female,No,0,Yes,Credit card (automatic),20.25,No
1984-GPTEH,Female,No,0,Yes,Electronic check,25.15,No
1251-KRREG,Male,No,0,Yes,Mailed check,54.4,Yes
0621-JFHOL,Female,No,0,No,Mailed check,29.6,No
9903-LYSAB,Male,Yes,0,Yes,Electronic check,73.15,No
0094-OIFMO,Female,No,1,Yes,Electronic check,95,Yes
9227-UAQFT,Male,No,0,Yes,Mailed check,19.75,No
7301-ABVAD,Female,No,0,Yes,Bank transfer (automatic),86.6,No
6614-FHDBO,Male,No,0,Yes,Bank transfer (automatic),109.2,No
7576-ASEJU,Female,Yes,0,Yes,Credit card (automatic),74.7,No
9058-HRZSV,Female,Yes,1,Yes,Electronic check,94.4,No
4522-AKYLR,Female,No,1,Yes,Electronic check,54.8,No
0221-WMXNQ,Male,No,1,Yes,Electronic check,75.35,No
0303-UNCIP,Male,No,0,Yes,Mailed check,65,No
9947-OTFQU,Male,No,1,Yes,Electronic check,74.4,Yes
0322-YINQP,Male,No,0,Yes,Mailed check,48.55,Yes
0959-WHOKV,Male,No,0,Yes,Electronic check,99,No
4075-JFPGR,Female,Yes,0,Yes,Electronic check,93.5,No
4629-NRXKX,Female,Yes,0,Yes,Electronic check,70.4,Yes
9514-JDSKI,Male,Yes,1,No,Electronic check,40.2,Yes
3282-ZISZV,Male,No,0,Yes,Credit card (automatic),83.7,No
3675-YDUPJ,Male,No,0,Yes,Mailed check,19.85,No
4111-BNXIF,Female,Yes,0,No,Electronic check,59.55,No
7017-VFHAY,Female,Yes,0,Yes,Credit card (automatic),115.1,No
6655-LHBYW,Male,No,0,Yes,Credit card (automatic),114.35,No
4959-JOSRX,Female,Yes,0,Yes,Credit card (automatic),44.6,Yes
5046-NUHWD,Female,Yes,1,No,Electronic check,45,No
7273-TEFQD,Male,No,1,No,Electronic check,41.15,Yes
3606-TWKGI,Male,No,1,Yes,Electronic check,106.9,Yes
7529-ZDFXI,Male,Yes,1,Yes,Electronic check,89.85,No
7605-BDWDC,Female,No,0,No,Bank transfer (automatic),49.85,No
1950-KSVVJ,Female,Yes,0,Yes,Mailed check,113.3,No
0123-CRBRT,Female,Yes,0,Yes,Mailed check,88.1,No
6292-TOSSS,Male,No,0,Yes,Bank transfer (automatic),24.9,No
3197-ARFOY,Female,No,1,Yes,Mailed check,105,No
6323-AYBRX,Male,No,0,Yes,Mailed check,19.35,Yes
7014-ZZXAW,Female,Yes,0,Yes,Credit card (automatic),24.25,No
4385-GZQXV,Female,No,1,Yes,Electronic check,94.45,Yes
7633-MVPUY,Male,Yes,0,Yes,Electronic check,59.75,No
6366-ZGQGL,Male,No,0,No,Bank transfer (automatic),24.8,Yes
4716-HHKQH,Male,Yes,1,Yes,Electronic check,107.05,No
5940-AHUHD,Male,No,0,Yes,Mailed check,70.6,Yes
6432-TWQLB,Male,Yes,0,Yes,Electronic check,85.4,Yes
4484-GLZOU,Female,Yes,0,Yes,Electronic check,105.05,Yes
3179-GBRWV,Male,Yes,1,Yes,Bank transfer (automatic),64.95,No
8645-KWHJO,Male,No,0,No,Electronic check,55,No
4130-MZLCC,Female,No,0,Yes,Bank transfer (automatic),50.55,No
0314-TKOSI,Female,No,0,Yes,Mailed check,55.15,No
8229-MYEJZ,Female,No,0,Yes,Electronic check,51.2,No
2080-SRCDE,Female,No,0,Yes,Mailed check,25.4,No
9577-WJVCQ,Female,No,0,Yes,Mailed check,54.45,No
9512-UIBFX,Male,Yes,0,Yes,Mailed check,95.15,Yes
6202-DYYFX,Female,No,0,Yes,Credit card (automatic),76,No
3808-HFKDE,Female,No,0,Yes,Electronic check,44.35,No
5583-SXDAG,Male,Yes,0,Yes,Electronic check,70,Yes
3488-PGMQJ,Male,No,1,Yes,Electronic check,74.5,Yes
3580-REOAC,Male,No,0,Yes,Credit card (automatic),44.85,Yes
7534-BFESC,Male,No,1,Yes,Electronic check,76.1,Yes
3727-OWVYD,Male,No,0,Yes,Mailed check,61.2,No
2294-SALNE,Male,Yes,0,Yes,Mailed check,86.8,No
4847-TAJYI,Female,No,1,Yes,Electronic check,89.35,No
1563-IWQEX,Female,No,0,Yes,Mailed check,19.7,No
8203-XJZRC,Male,No,0,Yes,Mailed check,20.25,No
6556-DBKZF,Female,Yes,0,Yes,Electronic check,76.05,No
6851-WEFYX,Male,Yes,1,Yes,Electronic check,100.8,No
2985-JUUBZ,Male,Yes,0,Yes,Electronic check,74.55,No
6390-DSAZX,Female,No,0,Yes,Mailed check,73.6,Yes
0895-LMRSF,Male,No,0,Yes,Bank transfer (automatic),64.9,No
8098-LLAZX,Female,No,1,Yes,Electronic check,95.45,Yes
8266-VBFQL,Male,No,0,Yes,Electronic check,90.4,No
8181-YHCMF,Female,Yes,0,No,Credit card (automatic),60.3,No
2240-HSJQD,Male,No,0,Yes,Mailed check,81.85,No
1248-DYXUB,Male,Yes,0,Yes,Mailed check,24.8,No
0265-EDXBD,Male,Yes,1,Yes,Electronic check,74.9,Yes
4115-BNPJY,Male,Yes,0,Yes,Mailed check,75.55,No
3167-SNQPL,Male,Yes,1,Yes,Electronic check,101.15,No
4091-TVOCN,Male,No,0,Yes,Credit card (automatic),78.75,No
1098-TDVUQ,Female,No,0,Yes,Bank transfer (automatic),19.25,No
7277-OZCGZ,Female,No,0,Yes,Electronic check,89.05,No
1557-EMYVT,Female,No,0,Yes,Credit card (automatic),115.05,No
2799-ARNLO,Female,Yes,1,Yes,Electronic check,69.35,No
7563-BIUPC,Male,No,0,Yes,Electronic check,80.6,Yes
5027-YOCXN,Male,Yes,0,Yes,Credit card (automatic),110.05,No
3973-SKMLN,Male,No,0,Yes,Credit card (automatic),19.9,No
2321-OMBXY,Female,Yes,0,Yes,Credit card (automatic),80.3,Yes
2840-XANRC,Male,Yes,1,Yes,Electronic check,93.15,Yes
6745-JEFZB,Male,Yes,0,Yes,Credit card (automatic),91.5,No
5020-ZSTTY,Female,No,1,Yes,Bank transfer (automatic),82.45,Yes
9880-TDQAC,Female,Yes,0,No,Electronic check,60,No
8705-WZCYL,Male,No,0,Yes,Electronic check,44.8,No
7102-JJVTX,Female,Yes,0,Yes,Mailed check,48.6,No
8626-PTQGE,Male,No,0,No,Bank transfer (automatic),60.05,No
4983-CLMLV,Female,Yes,0,Yes,Credit card (automatic),102.7,No
5701-YVSVF,Female,Yes,1,Yes,Electronic check,82.9,No
5804-LEPIM,Female,No,1,Yes,Electronic check,70.35,Yes
5697-GOMBF,Female,Yes,1,No,Electronic check,35.9,No
2739-CACDQ,Female,No,1,Yes,Credit card (automatic),82.65,No
9385-EHGDO,Female,Yes,0,Yes,Mailed check,19.85,No
9498-FIMXL,Female,No,0,Yes,Mailed check,19.2,No
2379-GYFLQ,Male,No,0,Yes,Credit card (automatic),94.9,No
0122-OAHPZ,Female,No,0,Yes,Electronic check,73.85,Yes
2868-SNELZ,Female,No,0,Yes,Mailed check,80.6,Yes
4322-RCYMT,Male,Yes,0,Yes,Bank transfer (automatic),75.8,Yes
6680-NENYN,Female,No,0,Yes,Electronic check,104.6,Yes
2088-IEBAU,Female,No,0,Yes,Electronic check,88.15,No
7982-VCELR,Female,No,0,Yes,Credit card (automatic),94.8,No
1343-EHPYB,Male,Yes,0,Yes,Electronic check,103.4,Yes
6035-BXTTY,Female,No,1,Yes,Bank transfer (automatic),54.65,No
6885-PKOAM,Female,Yes,0,Yes,Credit card (automatic),85.75,No
7520-HQWJU,Female,Yes,0,Yes,Bank transfer (automatic),67.45,No
9639-BUJXT,Male,No,0,Yes,Mailed check,20.5,No
5924-SNGKP,Female,No,0,Yes,Credit card (automatic),20.25,No
0021-IKXGC,Female,No,1,Yes,Electronic check,72.1,No
2034-GDRCN,Female,No,0,Yes,Electronic check,90.4,Yes
8966-SNIZF,Female,Yes,0,Yes,Bank transfer (automatic),19.45,No
6243-OZGFH,Female,No,0,No,Electronic check,44.95,No
4654-DLAMQ,Female,Yes,1,Yes,Bank transfer (automatic),97,No
0513-RBGPE,Male,Yes,0,Yes,Credit card (automatic),62.8,No
5160-UXJED,Male,No,0,Yes,Mailed check,44.6,No
4115-NZRKS,Female,No,1,Yes,Electronic check,89.15,No
0219-YTZUE,Male,Yes,0,Yes,Bank transfer (automatic),84.8,Yes
0623-IIHUG,Female,No,1,No,Electronic check,41.9,Yes
4572-DVCGN,Female,No,0,Yes,Bank transfer (automatic),80.25,Yes
3351-NGXYI,Female,No,1,Yes,Electronic check,54.1,No
8984-EYLLL,Male,Yes,0,Yes,Electronic check,105.25,No
9057-MSWCO,Male,Yes,1,No,Credit card (automatic),30.75,Yes
9833-TGFHX,Male,Yes,0,Yes,Electronic check,97.1,No
9294-TDIPC,Male,No,0,Yes,Mailed check,20.2,No
5229-DTFYB,Female,No,0,Yes,Bank transfer (automatic),98.8,No
0104-PPXDV,Male,Yes,0,Yes,Credit card (automatic),50.3,No
5176-LMJXE,Female,No,0,Yes,Mailed check,20.55,No
3583-KRKMD,Male,No,0,Yes,Bank transfer (automatic),75.9,No
1010-DIAUQ,Male,No,0,Yes,Bank transfer (automatic),96.5,Yes
9069-LGEUL,Male,Yes,0,Yes,Bank transfer (automatic),59.95,No
7302-ZHMHP,Female,No,0,Yes,Mailed check,19.15,No
9571-EDEBV,Male,Yes,0,Yes,Credit card (automatic),98.65,No
3520-FJGCV,Male,Yes,0,Yes,Credit card (automatic),112.6,No
6563-VRERX,Male,Yes,0,Yes,Mailed check,20.6,No
0259-GBZSH,Male,No,0,Yes,Electronic check,85.65,Yes
6122-EFVKN,Male,No,0,No,Mailed check,35.75,No
2805-EDJPQ,Female,Yes,0,Yes,Credit card (automatic),99.75,No
6862-CQUMB,Male,No,0,Yes,Credit card (automatic),96.1,No
7156-MXBJE,Female,No,0,Yes,Credit card (automatic),85.1,No
6158-HDPXZ,Male,No,0,No,Mailed check,25.35,No
9601-BRXPO,Female,Yes,0,Yes,Bank transfer (automatic),104.95,Yes
2863-IMQDR,Female,No,0,Yes,Electronic check,89.65,No
5686-CMAWK,Male,No,0,Yes,Electronic check,86.75,No
5651-CRHKQ,Female,Yes,0,Yes,Bank transfer (automatic),86.2,No
6905-NIQIN,Male,No,0,Yes,Mailed check,50.65,Yes
8204-YJCLA,Male,Yes,1,No,Bank transfer (automatic),64.8,No
5167-ZFFMM,Male,No,0,Yes,Credit card (automatic),90.85,Yes
6583-SZVGP,Male,No,0,Yes,Bank transfer (automatic),108.1,No
4895-TMWIR,Male,Yes,1,Yes,Mailed check,19.95,Yes
0533-BNWKF,Female,Yes,1,Yes,Electronic check,85.45,Yes
1708-PBBOA,Female,No,0,No,Electronic check,54.75,No
8782-LKFPK,Male,No,0,Yes,Mailed check,90.4,No
5522-JBWMO,Male,No,0,Yes,Electronic check,44,No
3597-MVHJT,Female,No,0,Yes,Bank transfer (automatic),95.6,No
9774-NRNAU,Male,Yes,1,Yes,Bank transfer (automatic),84.8,No
0224-RLWWD,Female,No,1,Yes,Electronic check,44.3,No
9967-ATRFS,Female,No,0,Yes,Mailed check,19.9,No
3951-NJCVI,Female,Yes,1,Yes,Electronic check,95.05,No
2977-CEBSX,Female,No,0,Yes,Credit card (automatic),90.05,No
0177-PXBAT,Male,Yes,1,Yes,Bank transfer (automatic),109.9,No
6599-CEBNN,Female,No,0,Yes,Credit card (automatic),73.95,Yes
