customerID,Churn
5392-AKEMH,No
2451-YMUXS,No
3914-FDRHP,No
3078-ZKNTS,No
1024-KPRBB,No
4690-PKDQG,No
8155-IBNHG,Yes
0886-QGENL,Yes
9547-ITEFG,No
1264-FUHCX,No
7789-CRUVC,No
6598-KELSS,No
8739-WWKDU,Yes
8685-WHQPW,Yes
4745-LSPLO,Yes
8083-YTZES,Yes
7240-FQLHE,Yes
6664-FPDAC,Yes
9972-VAFJJ,No
0422-UXFAP,No
1904-WAJAA,No
5130-YPIRV,No
2843-CQMEG,No
6439-PKTRR,No
5351-QESIO,No
0786-VSSUD,Yes
5568-DMXZS,No
8468-FZTOE,No
6633-SYEUS,No
6447-GORXK,No
6967-PEJLL,No
3976-BWUCK,Yes
5981-ZVXOT,No
1684-FLBGS,No
1389-WNUIB,No
0376-OIWME,No
3585-ISXZP,Yes
0218-QNVAS,No
6583-QGCSI,Yes
0804-YGEQV,No
7164-BPTUT,No
4174-LPGTI,Yes
2523-EWWZL,No
0928-XUTSN,No
2108-XWMPY,Yes
0052-YNYOT,No
6304-IJFSQ,Yes
9586-JGQKH,No
4501-VCPFK,No
6075-SLNIL,No
9347-AERRL,No
0093-XWZFY,Yes
2274-XUATA,No
1980-KXVPM,Yes
7703-ZEKEF,Yes
0723-DRCLG,Yes
5482-NUPNA,Yes
6691-CCIHA,No
1685-BQULA,No
9053-EJUNL,No
0666-UXTJO,No
1471-GIQKQ,No
4807-IZYOZ,No
1122-JWTJW,Yes
9710-NJERN,No
9837-FWLCH,No
1699-HPSBG,Yes
7203-OYKCT,No
1035-IPQPU,No
7398-LXGYX,No
2823-LKABH,No
8775-CEBBJ,Yes
0550-DCXLH,No
9281-CEDRU,No
2235-DWLJU,No
0871-OPBXW,No
3605-JISKB,No
6894-LFHLY,Yes
9767-FFLEM,No
0639-TSIQW,Yes
8456-QDAVC,No
7750-EYXWZ,No
2569-WGERO,No
6840-RESVB,No
2234-XADUH,No
4801-JZAZL,No
8361-LTMKD,Yes
3186-AJIEK,No
